from_node,to_node,weight
MD_C1,MD_C1,0.33333
MD_C10H10N2O2,MD_C3H5N1O1,2.66667
MD_C10H11N5O3,MD_C1H1N1,0.16667
MD_C10H11N5O3,MD_C1H2,1.97917
MD_C10H11N5O3,MD_C1H3,0.22917
MD_C10H11N5O3,MD_C1H4S1,0.16667
MD_C10H11N5O3,MD_C1H5N1O1S1,0.1875
MD_C10H11N5O3,MD_C1O2,0.9375
MD_C10H11N5O3,MD_C4H7N1O2,0.375
MD_C10H11N5O3,MD_O1,3.14583
MD_C10H12N5O6P1,MD_C1O2,2.21569
MD_C10H12N5O6P1,MD_C2H2O1,1.47059
MD_C10H12N5O6P1,MD_C4H10O5P1,0.35294
MD_C10H12N5O6P1,MD_C4H2N5O1P1,0.82353
MD_C10H12N5O6P1,MD_C6H12N4O1,0.82353
MD_C10H12N5O6P1,MD_H1O3P1,21.45882
MD_C10H12N5O6P1,MD_H2,7.27451
MD_C10H12N5O6P1,MD_H2O1,4.41176
MD_C10H12N5O7P1,MD_C10H12N5O6P1,3.91667
MD_C10H12N5O7P1,MD_C6H9O2P1,0.66667
MD_C10H13N2O7P1,MD_H2O1,80.4
MD_C10H13N5O10P2,MD_C10H12N5O7P1,0.77778
MD_C10H13N5O10P2,MD_H1S1,0.22222
MD_C10H13N5O10P2,MD_O3,0.44444
MD_C10H13N5O6P1,MD_N1O1,1.08333
MD_C10H13N5O6P1,MD_O3P1,1.66667
MD_C10H13N5O9P2,MD_C1O2,6.41667
MD_C10H13N5O9P2,MD_C2H2O1,3.25
MD_C10H14N5O12P3,MD_C10H12N5O6P1,7.33333
MD_C10H15N3O5S1,MD_C10H15N3O5S1,1.5
MD_C10H15N3O5S1,MD_H2,137.76
MD_C10H16,MD_C15H22O7P2,0.28889
MD_C10H16,MD_C15H24,0.31111
MD_C10H16,MD_C3H6O6P2,0.28889
MD_C10H16,MD_C40H64,0.31111
MD_C10H16,MD_H1O3P1,18.4
MD_C10H16,MD_H2O6P2,1.17778
MD_C10H16,MD_H4O7P2,8.0
MD_C10H17N2O7P1,MD_C8H13N1O5,2.33333
MD_C10H17N3O6S1,MD_C5H7N1O3,3.33333
MD_C10H17N3O6S1,MD_H2O1,16.0
MD_C10H2O5P2,MD_H2,55.33333
MD_C10H7N1O1,MD_C5H8O4,0.5
MD_C10H7N1O1,MD_C6H10O5,8.91667
MD_C10H8N2O3S2,MD_O3S1,2.33333
MD_C11H10O4,MD_C1H2,4.125
MD_C11H10O4,MD_C1H2N1O5,0.08333
MD_C11H10O4,MD_C21H34N7O15P3S1,2.25
MD_C11H10O4,MD_C21H34N7O16P3S1,0.16667
MD_C11H12O3,MD_C6H10O5,17.83333
MD_C11H19N4O5P2S1,MD_C9H15N4O4P2S1,1.33333
MD_C12H16O12,MD_C12H10O12,0.5
MD_C12H20O10,MD_C6H10O5,50.0
MD_C12H26N7O14P3S1,MD_C13H28N7O15P3S1,0.5
MD_C14H24N7O10P3S1,MD_C7H10O5,0.33333
MD_C15H22N5O13P2,MD_C1H3,0.33333
MD_C15H22N5O13P2,MD_C5H9O4,0.125
MD_C15H22N5O13P2,MD_C5H9O7P1,0.875
MD_C15H22N5O13P2,MD_H1N1O1,2.375
MD_C15H22O2,MD_C1H2,14.83333
MD_C15H22O7P2,MD_C1H2,3.33333
MD_C15H22O7P2,MD_C2H4,0.7
MD_C15H22O7P2,MD_H2O1,3.8
MD_C15H22O7P2,MD_H2O7P2,0.1
