node_id,molecular_diff,rcu_count,total_count,substrate_count,product_count,ko_count,ko_numbers,next_nodes,unique_next_nodes,next_node_count,unique_next_node_count,rcu_ids,substrates,products
MD_C1,C1,1,1,2,2,1,K22578,MD_C1_1,MD_C1,1,1,RCU_000000,C10882;C21801,C21801;C21802
MD_C10H10N2O2,C10H10N2O2,1,1,1,1,3,K01432;K07130;K14263,MD_C3H5N1O1_1,MD_C3H5N1O1,1,1,RCU_000001,C00058,C02700
MD_C10H10N2O3,C10H10N2O3,1,0,1,1,3,K01432;K07130;K14263,,,0,0,RCU_000002,C00058,C05648
MD_C10H10O2,C10H10O2,1,0,1,1,0,,,,0,0,RCU_000003,C00031,C00761
MD_C10H11N4O8P1,C10H11N4O8P1,1,0,1,1,2,K01518;K26955,,,0,0,RCU_000004,C00700,C04392
MD_C10H11N5O3,C10H11N5O3,1,8,2,2,7,K00789;K00798;K03644;K04032;K04068;K04069;K19221,MD_C1H1N1_1;MD_C1H2_1;MD_C1H3_1;MD_C1H4S1_1;MD_C1H5N1O1S1_1;MD_C1O2_1;MD_C4H7N1O2_1;MD_O1_1,MD_C1H1N1;MD_C1H2;MD_C1H3;MD_C1H4S1;MD_C1H5N1O1S1;MD_C1O2;MD_C4H7N1O2;MD_O1,8,8,RCU_000005,C00019;C00194,C00073;C00853
MD_C10H12N5O3,C10H12N5O3,2,0,3,3,3,K00789;K00798;K19221,,,0,0,RCU_000006;RCU_000007,C05335;C05774;C06505,C05691;C06506;C06508
MD_C10H12N5O6P1,C10H12N5O6P1,2,9,23,23,47,K00143;K00952;K00953;K00954;K00955;K00956;K00957;K00958;K00969;K00975;K00988;K01513;K01515;K01517;K01895;K01908;K01913;K01942;K01947;K02201;K02318;K03272;K03426;K03524;K03638;K03831;K04765;K06210;K06211;K08312;K10760;K11753;K13522;K13811;K13987;K13988;K14656;K15376;K18447;K18453;K19710;K19785;K21284;K21345;K22949;K22966;K26956,MD_C1O2_1;MD_C2H2O1_1;MD_C4H10O5P1_1;MD_C4H2N5O1P1_1;MD_C6H12N4O1_1;MD_H1O3P1_3;MD_H2O1_1;MD_H2_1,MD_C1O2;MD_C2H2O1;MD_C4H10O5P1;MD_C4H2N5O1P1;MD_C6H12N4O1;MD_H1O3P1;MD_H2;MD_H2O1,10,8,RCU_000008;RCU_000009,C00004;C00016;C00020;C00033;C00059;C00103;C00117;C00120;C00163;C00196;C00235;C00413;C00636;C00857;C00882;C00956;C01917;C03483;C03986;C05686;C05924;C06397;C20190,C00061;C00224;C00301;C00498;C01134;C01185;C03462;C04030;C04058;C05560;C05697;C05921;C05983;C05993;C06192;C07838;C16424;C18136;C19848;C20198;C21113;C21460;C22092
MD_C10H12N5O7P1,C10H12N5O7P1,2,2,13,13,18,K00394;K00395;K00966;K00971;K00976;K02231;K03752;K05907;K13818;K14190;K14941;K15669;K16011;K16881;K19712;K20427;K25314;K25315,MD_C10H12N5O6P1_1;MD_C6H9O2P1_1,MD_C10H12N5O6P1;MD_C6H9O2P1,2,2,RCU_000010;RCU_000011,C00044;C00094;C00096;C00103;C00325;C01171;C02280;C06509;C16183;C18237;C19155;C19880;C21367,C00224;C00394;C00636;C01261;C01581;C02985;C06510;C15926;C17269;C19156;C19871;C19881;C21368
MD_C10H12O4,C10H12O4,1,0,1,1,0,,,,0,0,RCU_000012,C01502,C21422
MD_C10H13N2O7P1,C10H13N2O7P1,1,2,2,2,2,K00973;K23144,MD_H2O1_3,MD_H2O1,3,1,RCU_000013,C00103;C00446,C00842;C02097
MD_C10H13N5O10P2,C10H13N5O10P2,2,3,2,2,1,K00390,MD_C10H12N5O7P1_1;MD_H1S1_1;MD_O3_1,MD_C10H12N5O7P1;MD_H1S1;MD_O3,3,3,RCU_000014;RCU_000015,C00031;C00053,C00094;C00394
MD_C10H13N5O6P1,C10H13N5O6P1,1,2,1,1,10,K00952;K00969;K01513;K03426;K04765;K06210;K06211;K13522;K19785;K26956,MD_N1O1_1;MD_O3P1_1,MD_N1O1;MD_O3P1,2,2,RCU_000016,C00003,C00455
MD_C10H13N5O9P2,C10H13N5O9P2,2,2,3,3,7,K00988;K01522;K01525;K17879;K18424;K18568;K19710,MD_C1O2_1;MD_C2H2O1_1,MD_C1O2;MD_C2H2O1,2,2,RCU_000017;RCU_000018,C00008;C00010;C00020,C01134;C01260;C06197
MD_C10H14N2O2S1,C10H14N2O2S1,1,0,1,1,1,K01435,,,0,0,RCU_000019,C00047,C05552
MD_C10H14N5O12P3,C10H14N5O12P3,1,1,3,3,3,K01518;K18445;K26955,MD_C10H12N5O6P1_1,MD_C10H12N5O6P1,1,1,RCU_000020,C00002;C00008;C00020,C01260;C04058;C20190
MD_C10H14N5O13P3,C10H14N5O13P3,1,0,1,1,2,K01518;K26955,,,0,0,RCU_000021,C00144,C01261
MD_C10H14N5O4P1Mo1,C10H14N5O4P1Mo1,1,0,1,1,2,K03750;K15376,,,0,0,RCU_000022,C18237,C19848
MD_C10H14N5O7P1,C10H14N5O7P1,1,0,2,2,1,K01756,,,0,0,RCU_000023,C00016;C00122,C03794;C16071
MD_C10H15N1O2,C10H15N1O2,1,0,1,1,1,K01044,,,0,0,RCU_000024,C00180,C01416
MD_C10H15N3O5S1,C10H15N3O5S1,2,3,11,10,9,K00799;K01069;K01070;K01460;K01833;K01917;K04097;K13299;K23790,MD_C10H15N3O5S1_2;MD_H2_3,MD_C10H15N3O5S1;MD_H2,5,2,RCU_000025;RCU_000026,C00042;C00058;C00256;C00315;C00750;C02090;C07645;C14852;C16562;C16565;C16566,C01031;C03174;C03451;C05730;C11583;C14856;C16562;C16563;C16566;C16567
MD_C10H15N3O6S1,C10H15N3O6S1,2,0,3,3,8,K00383;K00432;K05360;K05361;K11188;K24136;K24137;K24138,,,0,0,RCU_000027;RCU_000028,C00051;C00097;C00530,C00127;C05526;C21563
MD_C10H16,C10H16,1,8,9,12,11,K00787;K00795;K00804;K12503;K13565;K13787;K13789;K15887;K21587;K22841;K27602,MD_C15H22O7P2_1;MD_C15H24_1;MD_C3H6O6P2_1;MD_C40H64_1;MD_H1O3P1_2;MD_H2O6P2_1;MD_H4O7P2_3,MD_C15H22O7P2;MD_C15H24;MD_C3H6O6P2;MD_C40H64;MD_H1O3P1;MD_H2O6P2;MD_H4O7P2,10,7,RCU_000029,C00129;C00156;C02006;C09263;C09315;C18012;C20406;C21001;C21837,C00448;C02008;C16826;C18131;C19760;C20417;C20984;C21002;C21003;C21495;C21496;C21893
MD_C10H16N3O6S1Br1,C10H16N3O6S1Br1,1,0,1,1,4,K00799;K04097;K13299;K23790,,,0,0,RCU_000030,C14870,C14871
MD_C10H16N3O6S1Br2,C10H16N3O6S1Br2,1,0,1,1,4,K00799;K04097;K13299;K23790,,,0,0,RCU_000031,C11088,C14874
MD_C10H16N3O6S1Cl1,C10H16N3O6S1Cl1,1,0,4,3,4,K00799;K04097;K13299;K23790,,,0,0,RCU_000032,C06790;C14857;C14859;C14863,C14864;C14865;C14868
MD_C10H16N4O5S1,C10H16N4O5S1,1,0,1,1,0,,,,0,0,RCU_000033,C19689,C19690
MD_C10H16O1,C10H16O1,1,0,1,1,1,K24277,,,0,0,RCU_000034,C06866,C16666
MD_C10H16O8,C10H16O8,1,0,1,1,0,,,,0,0,RCU_000035,C20705,C20706
MD_C10H17N2O7P1,C10H17N2O7P1,1,1,1,1,1,K15915,MD_C8H13N1O5_1,MD_C8H13N1O5,1,1,RCU_000036,C20420,C20421
MD_C10H17N3O6S1,C10H17N3O6S1,1,2,13,16,7,K00799;K00807;K01759;K03396;K04097;K13299;K23790,MD_C5H7N1O3_1;MD_H2O1_1,MD_C5H7N1O3;MD_H2O1,2,2,RCU_000037,C00067;C00546;C00909;C11278;C14786;C14787;C14800;C14802;C14839;C14840;C14851;C14858;C21373,C02166;C03451;C14180;C14791;C14792;C14793;C14803;C14804;C14805;C14806;C14847;C14848;C14855;C14861;C19586;C21374
MD_C10H18O1,C10H18O1,1,0,1,1,4,K00632;K07508;K07509;K07513,,,0,0,RCU_000038,C00024,C05263
MD_C10H2O5P2,C10H2O5P2,1,1,1,1,1,K23094,MD_H2_1,MD_H2,1,1,RCU_000039,C05427,C13309
MD_C10H7N1O1,C10H7N1O1,1,2,3,3,0,,MD_C5H8O4_1;MD_C6H10O5_1,MD_C5H8O4;MD_C6H10O5,2,2,RCU_000040,C00010;C00047;C00137,C03868;C04211;C15489
MD_C10H8N2O3S2,C10H8N2O3S2,1,1,1,1,1,K01237,MD_O3S1_1,MD_O3S1,1,1,RCU_000041,C00031,C05837
MD_C10H8O3,C10H8O3,2,0,8,8,2,K14329;K15400,,,0,0,RCU_000042;RCU_000043,C00031;C00134;C00179;C00296;C00483;C00879;C08537;C18217,C02572;C02717;C03156;C08542;C10497;C17759;C18218;C18325
MD_C11H10O4,C11H10O4,1,4,4,4,0,,MD_C1H2N1O5_1;MD_C1H2_1;MD_C21H34N7O15P3S1_1;MD_C21H34N7O16P3S1_1,MD_C1H2;MD_C1H2N1O5;MD_C21H34N7O15P3S1;MD_C21H34N7O16P3S1,4,4,RCU_000044,C00010;C00114;C01175;C02287,C00411;C00933;C02750;C04275
MD_C11H12N5O8P1,C11H12N5O8P1,1,0,1,1,1,K07566,,,0,0,RCU_000045,C00188,C20641
MD_C11H12O3,C11H12O3,1,1,1,1,0,,MD_C6H10O5_1,MD_C6H10O5,1,1,RCU_000046,C00031,C01533
MD_C11H14N2O7,C11H14N2O7,1,0,1,1,1,K18311,,,0,0,RCU_000047,C00025,C20776
MD_C11H14O4,C11H14O4,1,0,1,1,0,,,,0,0,RCU_000048,C01502,C21419
MD_C11H15N5O3S1,C11H15N5O3S1,1,0,1,1,2,K01762;K20772,,,0,0,RCU_000049,C00019,C01234
MD_C11H16N2O7,C11H16N2O7,1,0,1,1,1,K23447,,,0,0,RCU_000050,C00158,C22102
MD_C11H17N1O8,C11H17N1O8,1,0,1,1,0,,,,0,0,RCU_000051,C00611,C04886
MD_C11H19N4O5P2S1,C11H19N4O5P2S1,1,1,1,1,7,K00161;K00162;K00163;K01568;K01652;K01653;K11258,MD_C9H15N4O4P2S1_1,MD_C9H15N4O4P2S1,1,1,RCU_000052,C00022,C05125
MD_C11H21N2O6P1S1,C11H21N2O6P1S1,1,0,1,1,3,K00997;K02362;K06133,,,0,0,RCU_000053,C00010,C00054
MD_C11H22N2O4P2,C11H22N2O4P2,1,0,1,1,1,K14367,,,0,0,RCU_000054,C06630,C11916
MD_C11H22N2O9P2S1,C11H22N2O9P2S1,2,0,3,3,3,K01895;K01908;K01913,,,0,0,RCU_000055;RCU_000056,C00024;C00100;C01894,C05921;C05983;C05993
MD_C122H229N3O31P2,C122H229N3O31P2,1,0,1,1,2,K23082;K23083,,,0,0,RCU_000057,C01187,C21995
MD_C12H10O12,C12H10O12,1,0,1,1,1,K01195,,,0,0,RCU_000058,C05787,C05791
MD_C12H12O10,C12H12O10,1,0,1,1,0,,,,0,0,RCU_000059,C19241,C19805
MD_C12H12O2,C12H12O2,1,0,1,1,1,K12709,,,0,0,RCU_000060,C12468,C20629
MD_C12H16O12,C12H16O12,1,1,1,1,1,K00699,MD_C12H10O12_1,MD_C12H10O12,1,1,RCU_000061,C00486,C05787
MD_C12H19N4O4S1,C12H19N4O4S1,1,0,1,1,1,K07008,,,0,0,RCU_000062,C00025,C20995
MD_C12H20O10,C12H20O10,2,3,6,6,6,K01189;K07406;K07407;K14596;K22307;K23395,MD_C6H10O5_4,MD_C6H10O5,4,1,RCU_000063;RCU_000064,C00124;C00252;C06098;C06371;C16301;C22088,C00492;C06372;C15969;C16303;C21659;C22089
MD_C12H20O8,C12H20O8,1,0,1,1,0,,,,0,0,RCU_000065,C08897,C20709
MD_C12H21N1O9,C12H21N1O9,1,0,1,1,0,,,,0,0,RCU_000066,C00033,C19784
MD_C12H22O1,C12H22O1,1,0,1,1,4,K00632;K07508;K07509;K07513,,,0,0,RCU_000067,C00024,C05261
MD_C12H23N3O6,C12H23N3O6,1,0,1,1,2,K13551;K17078,,,0,0,RCU_000068,C00033,C17582
MD_C12H24O2,C12H24O2,2,0,2,2,0,,,,0,0,RCU_000069;RCU_000070,C00026;C00036,C04529;C04655
MD_C12H26N7O14P3S1,C12H26N7O14P3S1,2,1,2,2,2,K13234;K17211,MD_C13H28N7O15P3S1_1,MD_C13H28N7O15P3S1,1,1,RCU_000071;RCU_000072,C10443;C17740,C17741;C17742
MD_C12H8O3,C12H8O3,1,0,1,1,0,,,,0,0,RCU_000073,C01746,C03882
MD_C13H14N2O3P2,C13H14N2O3P2,1,0,1,1,1,K07072,,,0,0,RCU_000074,C21069,C21070
MD_C13H15N3O3S1,C13H15N3O3S1,1,0,1,1,1,K22314,,,0,0,RCU_000075,C00025,C21622
MD_C13H16N4O2,C13H16N4O2,1,0,1,1,0,,,,0,0,RCU_000076,C02126,C04303
MD_C13H16O3,C13H16O3,1,0,1,1,1,K16050,,,0,0,RCU_000077,C04844,C20240
MD_C13H28N7O15P3S1,C13H28N7O15P3S1,1,0,2,2,1,K17211,,,0,0,RCU_000078,C17740;C17741,C17742;C17743
MD_C14H10O2S2,C14H10O2S2,1,0,1,1,0,,,,0,0,RCU_000079,C00033,C04606
MD_C14H15N1O5,C14H15N1O5,1,0,1,1,4,K01188;K05349;K05350;K13031,,,0,0,RCU_000080,C00031,C08325
MD_C14H21N6O13P3S1,C14H21N6O13P3S1,1,0,1,1,4,K08765;K08766;K19523;K19524,,,0,0,RCU_000081,C00154,C02990
MD_C14H24N7O10P3S1,C14H24N7O10P3S1,1,1,2,2,1,K13065,MD_C7H10O5_1,MD_C7H10O5,1,1,RCU_000082,C00223;C00323,C00852;C12208
MD_C14H26N7O11P3S1,C14H26N7O11P3S1,1,0,2,2,1,K13065,,,0,0,RCU_000083,C00223;C00323,C02947;C10434
MD_C14H26O1,C14H26O1,1,0,1,1,4,K00632;K07508;K07509;K07513,,,0,0,RCU_000084,C00024,C05259
MD_C14H26O2,C14H26O2,1,0,2,2,2,K00677;K02536,,,0,0,RCU_000085,C00043;C04652,C04738;C06022
MD_C14H8O2,C14H8O2,1,0,1,1,0,,,,0,0,RCU_000086,C00077,C03712
MD_C15H14N4O2S1,C15H14N4O2S1,1,0,1,1,1,K22314,,,0,0,RCU_000087,C00025,C21664
MD_C15H16N4O3S1,C15H16N4O3S1,1,0,1,1,1,K22314,,,0,0,RCU_000088,C00025,C21620
MD_C15H17N5O10P2S1,C15H17N5O10P2S1,1,0,1,1,2,K03146;K22699,,,0,0,RCU_000089,C00037,C20784
MD_C15H21N5O13P2,C15H21N5O13P2,1,0,1,2,1,K23518,,,0,0,RCU_000090,C00033,C20658;C22131
MD_C15H22N5O13P2,C15H22N5O13P2,1,4,1,1,0,,MD_C1H3_1;MD_C5H9O4_1;MD_C5H9O7P1_1;MD_H1N1O1_1,MD_C1H3;MD_C5H9O4;MD_C5H9O7P1;MD_H1N1O1,4,4,RCU_000091,C00003,C00153
MD_C15H22O2,C15H22O2,1,1,1,1,1,K01063,MD_C1H2_1,MD_C1H2,1,1,RCU_000092,C00132,C09694
MD_C15H22O7P2,C15H22O7P2,1,5,1,1,1,K00801,MD_C1H2_1;MD_C2H4_1;MD_H2O1_1;MD_H2O7P2_1;MD_O1_1,MD_C1H2;MD_C2H4;MD_H2O1;MD_H2O7P2;MD_O1,5,5,RCU_000093,C00448,C00751
MD_C15H23N5O16P3,C15H23N5O16P3,1,1,1,1,2,K01242;K18152,MD_C6H6N1O2_1,MD_C6H6N1O2,1,1,RCU_000094,C00253,C13051
MD_C15H24,C15H24,1,10,2,4,5,K00801;K00804;K10208;K13787;K13789,MD_C1H4O6P2_1;MD_C20H30O7P2_1;MD_C20H32_1;MD_C35H56_1;MD_H2O1_1;MD_H2O6P2_2;MD_H2O7P2_1;MD_H2_1;MD_H4O7P2_2;MD_H6_1,MD_C1H4O6P2;MD_C20H30O7P2;MD_C20H32;MD_C35H56;MD_H2;MD_H2O1;MD_H2O6P2;MD_H2O7P2;MD_H4O7P2;MD_H6,12,10,RCU_000095,C00129;C00448,C00353;C03428;C11356;C21784
MD_C15H24N4O7,C15H24N4O7,1,1,1,1,0,,MD_C6H10N2O2_1,MD_C6H10N2O2,1,1,RCU_000096,C01050,C04877
MD_C15H26O1,C15H26O1,1,0,1,1,1,K02257,,,0,0,RCU_000097,C00032,C15672
MD_C15H30N7O13P3S1,C15H30N7O13P3S1,2,1,4,4,1,K00660,MD_C6H10O5_2,MD_C6H10O5,2,1,RCU_000098;RCU_000099,C00223;C00323;C00406;C00540,C06561;C15525;C16404;C16405
MD_C15H30N7O14P3S1,C15H30N7O14P3S1,1,1,1,1,2,K00660;K08243,MD_C1H2_1,MD_C1H2,1,1,RCU_000100,C00223,C08650
MD_C15H30O1,C15H30O1,1,0,1,1,1,K00654,,,0,0,RCU_000101,C00065,C02934
MD_C15H32N7O14P3S1,C15H32N7O14P3S1,1,0,1,1,1,K12644,,,0,0,RCU_000102,C12092,C12093
MD_C15H8O4,C15H8O4,1,0,1,1,0,,,,0,0,RCU_000103,C00191,C10025
MD_C15H8O6,C15H8O6,1,1,1,1,0,,MD_C6H10O5_1,MD_C6H10O5,1,1,RCU_000104,C00507,C01750
MD_C16H12O5,C16H12O5,1,0,1,1,0,,,,0,0,RCU_000105,C08247,C09755
MD_C16H20O3,C16H20O3,1,0,1,1,0,,,,0,0,RCU_000106,C02498,C03690
MD_C16H24O2,C16H24O2,1,0,1,1,0,,,,0,0,RCU_000107,C00132,C04867
MD_C16H26N5O13P3S1,C16H26N5O13P3S1,1,0,1,1,0,,,,0,0,RCU_000108,C00582,C04148
MD_C16H26N7O12P3S1,C16H26N7O12P3S1,1,1,1,1,1,K01649,MD_H2O1_1,MD_H2O1,1,1,RCU_000109,C00024,C02504
MD_C16H27N6O12P3S1,C16H27N6O12P3S1,1,0,1,1,0,,,,0,0,RCU_000110,C05338,C05595
MD_C16H28N7O10P3S1,C16H28N7O10P3S1,1,1,1,1,3,K01655;K02594;K10977,MD_H2O1_1,MD_H2O1,1,1,RCU_000111,C00024,C01251
MD_C16H30N7O15P3S1,C16H30N7O15P3S1,1,2,2,2,2,K13231;K13232,MD_C1H2_1;MD_C2H4_1,MD_C1H2;MD_C2H4,2,2,RCU_000112,C00223;C00540,C01745;C03582
MD_C16H30O1,C16H30O1,2,0,5,5,4,K11155;K11156;K11157;K22795,,,0,0,RCU_000113;RCU_000114,C00100;C00473;C00477;C00899;C20985,C02588;C02681;C03455;C07297;C22176
MD_C17H21N1O3,C17H21N1O3,1,0,1,1,0,,,,0,0,RCU_000115,C00556,C03256
MD_C17H22O9,C17H22O9,1,0,1,1,1,K01757,,,0,0,RCU_000116,C00398,C03470
MD_C17H26O2,C17H26O2,1,0,1,1,0,,,,0,0,RCU_000117,C00132,C19613
MD_C17H28N2O12S1,C17H28N2O12S1,1,1,2,2,0,,MD_H2_1,MD_H2,1,1,RCU_000118,C00067;C06717,C06718;C11502
MD_C17H28N7O12P3S1,C17H28N7O12P3S1,1,0,1,1,0,,,,0,0,RCU_000119,C00024,C02488
MD_C17H30N7O10P3S1,C17H30N7O10P3S1,1,1,1,1,1,K01659,MD_H2O1_1,MD_H2O1,1,1,RCU_000120,C00100,C02225
MD_C18H12O4,C18H12O4,1,0,1,1,0,,,,0,0,RCU_000121,C00315,C21169
MD_C18H30O14,C18H30O14,1,0,1,1,0,,,,0,0,RCU_000122,C04053,C19965
MD_C18H34O1,C18H34O1,1,0,1,1,1,K22795,,,0,0,RCU_000123,C20985,C22177
MD_C18H35N1O1,C18H35N1O1,1,1,2,2,3,K01201;K01202;K17108,MD_O3S1_1,MD_O3S1,1,1,RCU_000124,C00031;C00124,C01747;C03108
MD_C19H19N7O5,C19H19N7O5,1,0,1,1,0,,,,0,0,RCU_000125,C00058,C03204
MD_C19H21N7O5,C19H21N7O5,1,2,1,1,4,K00288;K01433;K01938;K13402,MD_C5H7N1O3_1;MD_H1O1_1,MD_C5H7N1O3;MD_H1O1,2,2,RCU_000126,C00058,C00234
